,DATE,US_GDP,US_UNRATE,US_HousingPriceIndex,US_CPI,US_INDPRO,Price,Open,High,Low,Volume,Change %,Change,USREC,Target
54,2004-07-01,12305.307,5.5,151.338,-0.158144439,93.5502,3536.1,3533.0,3568.7,3478.2,9870000000.0,0.09%,0.0009,0.0,1
55,2004-08-01,12305.307,5.4,152.634,0.05279831,93.6301,3552.7,3534.4,3568.7,3467.1,9170000000.0,0.47%,0.004699999999999999,0.0,1
56,2004-09-01,12305.307,5.4,154.18,0.211081794,93.7353,3665.0,3554.0,3673.1,3554.0,9980000000.0,3.16%,0.0316,0.0,1
57,2004-10-01,12527.214,5.5,155.752,0.526592944,94.5695,3778.6,3665.1,3779.5,3654.6,11500000000.0,3.10%,0.031,0.0,1
58,2004-11-01,12527.214,5.4,157.528,0.052383447,94.8015,3931.3,3781.0,3943.6,3777.9,10560000000.0,4.04%,0.0404,0.0,1
59,2004-12-01,12527.214,5.4,159.33100000000002,-0.366492147,95.5415,4050.6,3932.2,4055.0,3877.1,8320000000.0,3.03%,0.030299999999999997,0.0,1
60,2005-01-01,12767.286,5.3,161.289,0.21019443,95.8785,4107.3,4048.3,4121.0,4026.1,7230000000.0,1.40%,0.013999999999999999,0.0,1
61,2005-02-01,12767.286,5.4,163.344,0.576822234,96.5709,4172.8,4113.7,4195.6,4096.9,9950000000.0,1.59%,0.0159,0.0,1
62,2005-03-01,12767.286,5.2,165.813,0.782064651,96.4345,4109.8,4173.2,4266.9,4059.5,9920000000.0,-1.51%,-0.0151,0.0,0
63,2005-04-01,12922.656,5.2,167.502,0.672529747,96.6347,3983.2,4118.9,4165.5,3957.3,9110000000.0,-3.08%,-0.0308,0.0,0
64,2005-05-01,12922.656,5.1,169.351,-0.102774923,96.7251,4106.4,3991.0,4142.5,3926.6,10310000000.0,3.09%,0.030899999999999997,0.0,1
65,2005-06-01,12922.656,5.0,171.19099999999997,0.051440329,97.1483,4277.5,4105.1,4321.7,4098.8,10410000000.0,4.17%,0.0417,0.0,1
66,2005-07-01,13142.642,5.0,172.86,0.462724936,96.8397,4388.8,4272.7,4398.8,4213.6,8840000000.0,2.60%,0.026000000000000002,0.0,1
67,2005-08-01,13142.642,4.9,174.442,0.511770727,97.1584,4446.8,4388.3,4502.2,4361.4,11200000000.0,1.32%,0.0132,0.0,1
68,2005-09-01,13142.642,5.0,176.437,1.221995927,95.2764,4641.2,4454.3,4679.1,4440.9,11150000000.0,4.37%,0.0437,0.0,1
69,2005-10-01,13324.204,5.0,178.02700000000002,0.201207243,96.4411,4459.7,4642.2,4654.3,4311.1,9520000000.0,-3.91%,-0.0391,0.0,0
70,2005-11-01,13324.204,5.0,179.68,-0.803212851,97.5016,4634.8,4463.6,4680.1,4441.8,10200000000.0,3.93%,0.0393,0.0,1
71,2005-12-01,13324.204,4.9,180.91,-0.4048583,97.9723,4763.4,4625.7,4775.8,4549.3,8010000000.0,2.77%,0.0277,0.0,1
72,2006-01-01,13599.16,4.7,182.32,0.762195122,98.127,4929.6,4762.2,4964.1,4751.1,8230000000.0,3.49%,0.0349,0.0,1
73,2006-02-01,13599.16,4.8,183.287,0.201714574,98.1687,4921.3,4937.4,4982.6,4790.8,10400000000.0,-0.17%,-0.0017000000000000001,0.0,0
74,2006-03-01,13599.16,4.7,184.365,0.55359839,98.3913,5129.7,4913.5,5139.5,4844.8,12380000000.0,4.23%,0.042300000000000004,0.0,1
75,2006-04-01,13753.424,4.7,184.328,0.850850851,98.6826,5258.8,5127.6,5336.6,5122.1,8870000000.0,2.52%,0.0252,0.0,1
76,2006-05-01,13753.424,4.6,184.155,0.496277916,98.7074,5001.7,5273.8,5406.7,4976.8,12260000000.0,-4.89%,-0.0489,0.0,0
77,2006-06-01,13753.424,4.6,183.507,0.197530864,99.0398,5073.9,5018.2,5120.0,4758.3,11800000000.0,1.44%,0.0144,0.0,1
78,2006-07-01,13870.188,4.7,183.066,0.295712173,98.9751,4986.0,5075.5,5146.6,4899.9,9890000000.0,-1.73%,-0.0173,0.0,0
79,2006-08-01,13870.188,4.7,182.593,0.196560197,99.4047,5115.4,4981.6,5115.4,4919.5,12670000000.0,2.60%,0.026000000000000002,0.0,1
80,2006-09-01,13870.188,4.5,182.798,-0.490436488,99.2246,5154.1,5113.5,5164.2,4961.3,12290000000.0,0.76%,0.0076,0.0,1
81,2006-10-01,14039.56,4.4,183.197,-0.542138985,99.1229,5384.4,5153.0,5409.9,5142.7,12470000000.0,4.47%,0.0447,0.0,1
82,2006-11-01,14039.56,4.5,183.608,-0.148662042,99.0963,5482.1,5390.7,5496.3,5322.4,13710000000.0,1.81%,0.0181,0.0,1
83,2006-12-01,14039.56,4.4,184.138,0.148883375,100.1125,5669.9,5486.0,5684.4,5411.0,11390000000.0,3.43%,0.034300000000000004,0.0,1
84,2007-01-01,14215.651,4.6,184.516,0.305252725,99.7546,5773.4,5672.7,5829.3,5499.0,11940000000.0,1.83%,0.0183,0.0,1
85,2007-02-01,14215.651,4.5,184.598,0.535036756,100.7166,5832.5,5781.3,6052.1,5781.3,13530000000.0,1.02%,0.0102,0.0,1
86,2007-03-01,14215.651,4.4,184.15,0.910569585,100.8952,5995.0,5840.6,5998.9,5641.1,14460000000.0,2.79%,0.0279,0.0,1
87,2007-04-01,14402.082,4.5,183.01,0.649616269,101.5723,6166.0,5994.0,6265.2,5915.8,11850000000.0,2.85%,0.0285,0.0,1
88,2007-05-01,14402.082,4.4,181.6,0.611071867,101.6269,6313.5,6163.2,6384.1,6134.2,15630000000.0,2.39%,0.0239,0.0,1
89,2007-06-01,14402.082,4.6,180.253,0.193797518,101.6547,6274.9,6321.0,6409.2,6170.2,16250000000.0,-0.61%,-0.0060999999999999995,0.0,0
90,2007-07-01,14564.117,4.7,179.11,-0.025437721,101.4953,6144.2,6282.0,6436.7,6044.3,15480000000.0,-2.08%,-0.0208,0.0,0
91,2007-08-01,14564.117,4.6,178.116,-0.183390223,101.6943,6247.2,6138.6,6247.2,5483.3,18670000000.0,1.68%,0.0168,0.0,1
92,2007-09-01,14564.117,4.7,177.55700000000002,0.275590741,101.9428,6567.8,6253.7,6594.4,6146.5,13710000000.0,5.13%,0.0513,0.0,1
93,2007-10-01,14715.058,4.7,176.623,0.213919133,101.6446,6754.1,6567.6,6800.2,6542.9,14470000000.0,2.84%,0.028399999999999998,0.0,1
94,2007-11-01,14715.058,4.7,175.146,0.593961787,102.2167,6533.1,6778.4,6851.5,6312.6,14340000000.0,-3.27%,-0.0327,0.0,0
95,2007-12-01,14715.058,5.0,174.34099999999998,-0.067086313,102.2764,6339.8,6535.2,6684.4,6105.6,13260000000.0,-2.96%,-0.0296,0.0,0
96,2008-01-01,14706.538,5.0,173.13099999999997,0.497057647,102.1493,5650.3,6336.6,6385.7,5186.8,17290000000.0,-10.88%,-0.10880000000000001,1.0,0
97,2008-02-01,14706.538,4.9,171.53900000000002,0.290411218,101.7756,5572.1,5672.6,6022.0,5490.4,15640000000.0,-1.38%,-0.0138,1.0,0
98,2008-03-01,14706.538,5.1,170.05200000000002,0.866821293,101.4508,5355.7,5534.3,5535.2,5039.6,18110000000.0,-3.88%,-0.0388,1.0,0
99,2008-04-01,14865.701,5.0,168.33700000000002,0.606477839,100.7554,5595.4,5363.4,5672.7,5301.0,15470000000.0,4.48%,0.044800000000000006,1.0,1
100,2008-05-01,14865.701,5.4,166.658,0.842088603,100.1336,5654.7,5592.6,5980.8,5538.7,17000000000.0,1.06%,0.0106,1.0,1
101,2008-06-01,14865.701,5.6,165.016,1.007699693,99.8728,5215.3,5671.9,5681.5,5144.7,19310000000.0,-7.77%,-0.07769999999999999,1.0,0
102,2008-07-01,14898.999,5.8,163.564,0.525101113,99.4194,4977.4,5230.1,5231.9,4787.5,18440000000.0,-4.56%,-0.045599999999999995,1.0,0
103,2008-08-01,14898.999,6.1,161.986,-0.399156226,97.8491,5135.6,4971.7,5146.3,4758.5,16399999999.999998,3.18%,0.0318,1.0,1
104,2008-09-01,14898.999,6.1,160.30700000000002,-0.138301854,93.5576,4600.5,5128.7,5177.2,4527.4,20170000000.0,-10.42%,-0.1042,1.0,0
105,2008-10-01,14608.209,6.5,158.326,-1.010133328,94.4985,4018.0,4636.3,4832.5,3724.8,19090000000.0,-12.66%,-0.1266,1.0,0
106,2008-11-01,14608.209,6.8,156.141,-1.915289533,93.2617,3742.5,4041.6,4340.5,3217.5,17720000000.0,-6.86%,-0.06860000000000001,1.0,0
107,2008-12-01,14608.209,7.3,153.618,-1.034247381,90.6266,3722.3,3738.9,3738.9,3474.1,17059999999.999998,-0.54%,-0.0054,1.0,0
108,2009-01-01,14430.902,7.8,151.506,0.435241738,88.3712,3540.7,3723.9,3817.9,3342.7,13000000000.0,-4.88%,-0.048799999999999996,1.0,0
109,2009-02-01,14430.902,8.3,150.014,0.497293304,87.843,3344.5,3519.4,3578.7,3296.2,16730000000.0,-5.54%,-0.0554,1.0,0
110,2009-03-01,14430.902,8.7,148.659,0.243174846,86.4689,3582.1,3329.4,3706.6,3120.8,23760000000.0,7.10%,0.071,1.0,1
111,2009-04-01,14381.236,9.0,147.947,0.249636828,85.7903,3780.5,3583.6,3851.2,3550.9,19450000000.0,5.54%,0.0554,1.0,1
112,2009-05-01,14381.236,9.4,147.69299999999998,0.288876383,84.9436,3818.0,3771.4,3960.4,3714.9,24020000000.0,0.99%,0.009899999999999999,1.0,1
113,2009-06-01,14381.236,9.5,148.088,0.858989226,84.6746,3954.9,3826.4,4079.4,3767.9,28430000000.0,3.59%,0.0359,1.0,1
114,2009-07-01,14448.882,9.5,148.408,-0.158558692,85.6853,4244.0,3939.5,4247.9,3709.2,23790000000.0,7.31%,0.0731,0.0,1
115,2009-08-01,14448.882,9.6,148.27700000000002,0.224285004,86.6393,4479.1,4245.9,4537.2,4245.9,35120000000.0,5.54%,0.0554,0.0,1
116,2009-09-01,14448.882,9.8,148.024,0.062548069,87.3821,4743.6,4476.6,4767.9,4410.0,31230000000.0,5.91%,0.0591,0.0,1
117,2009-10-01,14651.249,10.0,147.85,0.096310119,87.5809,4643.2,4738.8,4895.3,4562.5,25740000000.0,-2.12%,-0.0212,0.0,0
118,2009-11-01,14651.249,9.9,148.136,0.070775337,87.9388,4701.4,4611.0,4799.0,4502.5,22430000000.0,1.25%,0.0125,0.0,1
119,2009-12-01,14651.249,9.9,147.93,-0.176119817,88.2404,4870.6,4696.9,4873.6,4596.2,17650000000.0,3.60%,0.036000000000000004,0.0,1
120,2010-01-01,14764.61,9.8,147.39600000000002,0.341747357,89.1897,4569.6,4864.9,4955.1,4566.7,16739999999.999998,-6.18%,-0.061799999999999994,0.0,0
121,2010-02-01,14764.61,9.8,145.631,0.024920738,89.5046,4637.7,4569.9,4718.3,4464.9,21150000000.0,1.49%,0.0149,0.0,1
122,2010-03-01,14764.61,9.9,145.858,0.410628354,90.1356,4875.5,4633.1,4928.9,4633.1,25600000000.0,5.13%,0.0513,0.0,1
123,2010-04-01,14980.193,9.9,146.401,0.173688491,90.4607,4807.4,4880.0,5025.1,4779.3,20550000000.0,-1.40%,-0.013999999999999999,0.0,0
124,2010-05-01,14980.193,9.6,146.392,0.077519735,91.7014,4429.7,4782.8,4804.5,4175.7,27110000000.0,-7.86%,-0.0786,0.0,0
125,2010-06-01,14980.193,9.4,145.719,-0.097626708,91.9033,4301.5,4430.6,4622.0,4249.5,21020000000.0,-2.89%,-0.028900000000000002,0.0,0
126,2010-07-01,15141.607,9.4,144.987,0.021104306,92.2549,4493.5,4284.6,4531.6,4182.3,18410000000.0,4.46%,0.0446,0.0,1
127,2010-08-01,15141.607,9.5,143.912,0.138066428,92.5936,4404.2,4495.1,4598.7,4313.9,23050000000.0,-1.99%,-0.0199,0.0,0
128,2010-09-01,15141.607,9.5,143.015,0.058173623,92.8533,4582.9,4413.3,4698.0,4413.3,22950000000.0,4.06%,0.0406,0.0,1
129,2010-10-01,15309.474,9.4,142.526,0.124519889,92.6033,4661.6,4593.1,4725.9,4559.0,20690000000.0,1.72%,0.0172,0.0,1
